data_base,porte,carteira_ativa,carteira_inadimplida_arrastada,ticket
2012-12-01,PF - Mais de 1 a 2 salários mínimos          ,23634680812.65,331340451.58,41823.161822459006
2012-12-01,PF - Mais de 10 a 20 salários mínimos        ,47870958660.98,517379018.87,78026.73628377904
2012-12-01,PF - Mais de 2 a 3 salários mínimos          ,34277672356.64,495096297.03,43782.44535642402
2012-12-01,PF - Mais de 3 a 5 salários mínimos          ,40033258953.39,541901773.08,51650.76286475827
2012-12-01,PF - Mais de 5 a 10 salários mínimos         ,46890492578.36,564078073.78,57768.56358763194
2012-12-01,PF - Sem rendimento                          ,1117761175.79,29088302.17,64978.968407102315
2013-01-01,PF - Acima de 20 salários mínimos            ,41072108254.71,364369386.8,115162.90389649695
2013-01-01,PF - Até 1 salário mínimo                    ,11047727821.49,141963841.47,49547.098133969055
2013-01-01,PF - Indisponível                            ,633162656.03,22574017.330000002,59397.7644970367
2013-01-01,PF - Mais de 1 a 2 salários mínimos          ,24388751009.88,340619587.74,40284.55689562503
2013-01-01,PF - Mais de 10 a 20 salários mínimos        ,48437344593.57,515571227.52,78170.8815508613
2013-01-01,PF - Mais de 2 a 3 salários mínimos          ,35347764760.78,517898025.21,43953.58193656304
2013-01-01,PF - Mais de 3 a 5 salários mínimos          ,41056647149.52,558008602.89,51141.065533671026
2013-01-01,PF - Mais de 5 a 10 salários mínimos         ,48036384317.21,572980699.5,57800.188668915565
2013-01-01,PF - Sem rendimento                          ,1125454164.42,30111845.72,73667.44368577452
2013-02-01,PF - Acima de 20 salários mínimos            ,41473017691.92,397494280.57,116322.17356986376
2013-02-01,PF - Até 1 salário mínimo                    ,11571939293.57,183684944.45,50347.75430821101
2013-02-01,PF - Indisponível                            ,623627000.32,22350089.98,59674.877545694304
2013-02-01,PF - Mais de 1 a 2 salários mínimos          ,25467619355.18,414012333.07,40692.73021713747
2013-02-01,PF - Mais de 10 a 20 salários mínimos        ,48771898661.5,565114659.43,78971.31434267435
2013-02-01,PF - Mais de 2 a 3 salários mínimos          ,36338566909.47,623025098.56,44599.41014165649
2013-02-01,PF - Mais de 3 a 5 salários mínimos          ,41960740916.56,655325318.49,51523.9330062007
2013-02-01,PF - Mais de 5 a 10 salários mínimos         ,48770611292.25,652417520.86,57957.36943110268
2013-02-01,PF - Sem rendimento                          ,1138954043.61,27694521.7,72957.4538769064
2013-03-01,PF - Acima de 20 salários mínimos            ,51436999216.81,482220030.84000003,119510.94128197093
2013-03-01,PF - Até 1 salário mínimo                    ,21254514604.53,593898433.72,43268.826318123916
2013-03-01,PF - Indisponível                            ,602071733.02,19549593.9,58065.12272392166
2013-03-01,PF - Mais de 1 a 2 salários mínimos          ,15242402930.78,301244087.63,38507.56603482383
2013-03-01,PF - Mais de 10 a 20 salários mínimos        ,55814430753.29,625751009.28,79385.4404884184
2013-03-01,PF - Mais de 2 a 3 salários mínimos          ,29120829563.350002,584682671.96,42387.20932374896
2013-03-01,PF - Mais de 3 a 5 salários mínimos          ,39245010062.44,683292204.53,50553.20750562949
2013-03-01,PF - Mais de 5 a 10 salários mínimos         ,49427102904.28,693668907.64,57021.589014702375
2013-03-01,PF - Sem rendimento                          ,905489324.73,27712601.419999998,80244.53651231434
2013-04-01,PF - Acima de 20 salários mínimos            ,54003923993.96,550142759.18,119010.78849677743
2013-04-01,PF - Até 1 salário mínimo                    ,4120040014.5,104695808.74,41835.98856380176
2013-04-01,PF - Indisponível                            ,599376909.58,19555967.53,59129.224661715794
2013-04-01,PF - Mais de 1 a 2 salários mínimos          ,20075384573.19,427726000.86,35248.526050977554
2013-04-01,PF - Mais de 10 a 20 salários mínimos        ,58640526698.159996,669590134.39,79050.5983239414
2013-04-01,PF - Mais de 2 a 3 salários mínimos          ,34943029849.2,739817728.07,40510.77750771121
2013-04-01,PF - Mais de 3 a 5 salários mínimos          ,44000245891.200005,792013480.94,48568.87389875747
2013-04-01,PF - Mais de 5 a 10 salários mínimos         ,53013488430.45,749096430.91,57994.12770069727
2013-04-01,PF - Sem rendimento                          ,911686798.16,27040392.439999998,79382.03245384399
2013-05-01,PF - Acima de 20 salários mínimos            ,55358847485.3,587096344.7,119618.44870116918
2013-05-01,PF - Até 1 salário mínimo                    ,6640170061.63,108883549.9,50034.891335077235
2013-05-01,PF - Indisponível                            ,589142481.31,20570111.330000002,58752.35872114486
2013-05-01,PF - Mais de 1 a 2 salários mínimos          ,20564333309.53,444028937.5,36050.56093250501
2013-05-01,PF - Mais de 10 a 20 salários mínimos        ,59801696728.2,712234531.8,79452.93132323201
2013-05-01,PF - Mais de 2 a 3 salários mínimos          ,36091745237.729996,778502612.77,40677.962641863945
2013-05-01,PF - Mais de 3 a 5 salários mínimos          ,45157094399.84,859266217.1800001,48936.69280698628
2013-05-01,PF - Mais de 5 a 10 salários mínimos         ,54165306578.03,798155079.07,58433.91604450105
2013-05-01,PF - Sem rendimento                          ,943889944.02,24617661.35,79282.39197324112
2013-06-01,PF - Acima de 20 salários mínimos            ,56929088303.27,549207938.86,120746.419352034
2013-06-01,PF - Até 1 salário mínimo                    ,8318028460.18,102098057.78999999,54186.60795383188
2013-06-01,PF - Indisponível                            ,578550448.03,19780404.28,58650.31983997856
2013-06-01,PF - Mais de 1 a 2 salários mínimos          ,21372632155.61,396970028.42,36734.00446507001
2013-06-01,PF - Mais de 10 a 20 salários mínimos        ,61186805750.189995,658517061.76,80496.28401221546
2013-06-01,PF - Mais de 2 a 3 salários mínimos          ,36832517744.71,701609153.18,41060.7365366064
2013-06-01,PF - Mais de 3 a 5 salários mínimos          ,45897023931.74,764117328.89,49516.56051188182
2013-06-01,PF - Mais de 5 a 10 salários mínimos         ,55036255829.47,723348743.08,58856.167761249235
2013-06-01,PF - Sem rendimento                          ,1646700179.01,32128959.669999998,70643.01371612212
2013-07-01,PF - Acima de 20 salários mínimos            ,59140580193.28,585221896.42,124474.71626652913
2013-07-01,PF - Até 1 salário mínimo                    ,8821496858.51,111293854.01,53641.6638486331
